Stock,minute,volatility5,spread,qsize,volpct
000001.SZSE,09:25,0,,,0.005224333
000001.SZSE,09:30,0.05361104,5.088313,27938.19,0.04764759
000001.SZSE,09:35,0.05526986,4.362966,27879.4,0.04078795
000001.SZSE,09:40,0.0370773,4.435114,31338.25,0.03733713
000001.SZSE,09:45,0.03464706,4.361489,27779.67,0.03503128
000001.SZSE,09:50,0.02846335,4.295296,34625.17,0.02988631
000001.SZSE,09:55,0.03398895,4.443551,31309.64,0.02929027
000001.SZSE,10:00,0.03133302,4.314098,30696.61,0.02646027
000001.SZSE,10:05,0.02646992,4.261098,30994.02,0.02471666
000001.SZSE,10:10,0.03043583,4.16504,32976.81,0.02384024
000001.SZSE,10:15,0.0235484,4.152492,28388.79,0.01843501
000001.SZSE,10:20,0.02825726,4.154265,28792.76,0.02038347
000001.SZSE,10:25,0.02207266,4.216875,28087.93,0.01905752
000001.SZSE,10:30,0.02600666,4.106249,28929.82,0.02139497
000001.SZSE,10:35,0.02394211,4.143551,33039.24,0.01833357
000001.SZSE,10:40,0.02478294,4.258004,29788.62,0.01923493
000001.SZSE,10:45,0.028253,4.225347,31355.06,0.02047733
000001.SZSE,10:50,0.02233903,4.349785,25705.29,0.01974345
000001.SZSE,10:55,0.02198999,4.369386,28659.29,0.01685253
000001.SZSE,11:00,0.02462211,4.389459,28062.58,0.01771499
000001.SZSE,11:05,0.02418437,4.403795,29517.19,0.01936687
000001.SZSE,11:10,0.02364965,4.411153,29009.04,0.01521674
000001.SZSE,11:15,0.02153016,4.455941,33256.64,0.01965923
000001.SZSE,11:20,0.02365043,4.360352,28203.72,0.01625265
000001.SZSE,11:25,0.02231935,4.191865,28176.42,0.01438866
000001.SZSE,11:30,0,,,3.47946e-005
000001.SZSE,13:00,0.02269956,4.460746,35119.17,0.02058115
000001.SZSE,13:05,0.02297187,4.241253,29181.23,0.01398013
000001.SZSE,13:10,0.0171111,4.199718,31121.55,0.01419776
000001.SZSE,13:15,0.02117477,4.213154,37777.38,0.01488246
000001.SZSE,13:20,0.01825387,4.113405,33962.87,0.01342326
000001.SZSE,13:25,0.01834804,4.229779,33244.54,0.01649936
000001.SZSE,13:30,0.02250522,4.005653,37680.2,0.01581275
000001.SZSE,13:35,0.01753055,4.030053,34702.42,0.01406668
000001.SZSE,13:40,0.02189893,4.053294,37022.65,0.01455379
000001.SZSE,13:45,0.01423535,3.992712,41901.73,0.01490224
000001.SZSE,13:50,0.01694336,4.02572,38960.5,0.01422913
000001.SZSE,13:55,0.01507188,4.213906,43554.08,0.01450849
000001.SZSE,14:00,0.0180174,3.963606,47595.35,0.01589286
000001.SZSE,14:05,0.01923668,3.858656,34514.31,0.01467707
000001.SZSE,14:10,0.01821159,4.059893,45457.12,0.01884167
000001.SZSE,14:15,0.02008118,3.892291,38401.47,0.01598239
000001.SZSE,14:20,0.01944245,3.862296,36331.74,0.0164535
000001.SZSE,14:25,0.01686159,3.875022,39344.04,0.01876046
000001.SZSE,14:30,0.02101098,4.103289,40731.94,0.01861407
000001.SZSE,14:35,0.01793879,3.947674,47863,0.02088056
000001.SZSE,14:40,0.01469511,3.91325,48444.36,0.02322386
000001.SZSE,14:45,0.02022695,3.808022,47973.9,0.02448994
000001.SZSE,14:50,0.01365775,3.736168,65335.41,0.02656984
000001.SZSE,14:55,0.009218426,1.438081,527357.3,0.01258221
000001.SZSE,15:00,0,3.445222,206274.3,0.01462878
600030.SHSE,09:25,0,,,0.005224333
600030.SHSE,09:30,0.02706458,5.088313,27938.19,0.04764759
600030.SHSE,09:35,0.02937957,4.362966,27879.4,0.04078795
600030.SHSE,09:40,0.02264775,4.435114,31338.25,0.03733713
600030.SHSE,09:45,0.01974091,4.361489,27779.67,0.03503128
600030.SHSE,09:50,0.01664293,4.295296,34625.17,0.02988631
600030.SHSE,09:55,0.01849888,4.443551,31309.64,0.02929027
600030.SHSE,10:00,0.01593589,4.314098,30696.61,0.02646027
600030.SHSE,10:05,0.01782247,4.261098,30994.02,0.02471666
600030.SHSE,10:10,0.01661541,4.16504,32976.81,0.02384024
600030.SHSE,10:15,0.01570287,4.152492,28388.79,0.01843501
600030.SHSE,10:20,0.0211559,4.154265,28792.76,0.02038347
600030.SHSE,10:25,0.01697636,4.216875,28087.93,0.01905752
600030.SHSE,10:30,0.015096,4.106249,28929.82,0.02139497
600030.SHSE,10:35,0.01912051,4.143551,33039.24,0.01833357
600030.SHSE,10:40,0.01732586,4.258004,29788.62,0.01923493
600030.SHSE,10:45,0.01718221,4.225347,31355.06,0.02047733
600030.SHSE,10:50,0.01550855,4.349785,25705.29,0.01974345
600030.SHSE,10:55,0.01758114,4.369386,28659.29,0.01685253
600030.SHSE,11:00,0.01783457,4.389459,28062.58,0.01771499
600030.SHSE,11:05,0.01976836,4.403795,29517.19,0.01936687
600030.SHSE,11:10,0.01599734,4.411153,29009.04,0.01521674
600030.SHSE,11:15,0.0189759,4.455941,33256.64,0.01965923
600030.SHSE,11:20,0.01515656,4.360352,28203.72,0.01625265
600030.SHSE,11:25,0.01409852,4.191865,28176.42,0.01438866
600030.SHSE,13:00,0.01645179,4.460746,35119.17,0.02058115
600030.SHSE,13:05,0.01630299,4.241253,29181.23,0.01398013
600030.SHSE,13:10,0.01198629,4.199718,31121.55,0.01419776
600030.SHSE,13:15,0.01277514,4.213154,37777.38,0.01488246
600030.SHSE,13:20,0.0109276,4.113405,33962.87,0.01342326
600030.SHSE,13:25,0.01391028,4.229779,33244.54,0.01649936
600030.SHSE,13:30,0.01294973,4.005653,37680.2,0.01581275
600030.SHSE,13:35,0.0128544,4.030053,34702.42,0.01406668
600030.SHSE,13:40,0.0130537,4.053294,37022.65,0.01455379
600030.SHSE,13:45,0.013153,3.992712,41901.73,0.01490224
600030.SHSE,13:50,0.01116335,4.02572,38960.5,0.01422913
600030.SHSE,13:55,0.01315524,4.213906,43554.08,0.01450849
600030.SHSE,14:00,0.01329753,3.963606,47595.35,0.01589286
600030.SHSE,14:05,0.01506442,3.858656,34514.31,0.01467707
600030.SHSE,14:10,0.01733619,4.059893,45457.12,0.01884167
600030.SHSE,14:15,0.01734063,3.892291,38401.47,0.01598239
600030.SHSE,14:20,0.01515129,3.862296,36331.74,0.0164535
600030.SHSE,14:25,0.01549786,3.875022,39344.04,0.01876046
600030.SHSE,14:30,0.01630113,4.103289,40731.94,0.01861407
600030.SHSE,14:35,0.01528229,3.947674,47863,0.02088056
600030.SHSE,14:40,0.01645456,3.91325,48444.36,0.02322386
600030.SHSE,14:45,0.01513863,3.808022,47973.9,0.02448994
