parentid,childid,date,sym,time,price,size
V001,V001_1,2020/12/2,000001.SZSE,9:25:00,19.93,25500
V001,V001_2,2020/12/2,000001.SZSE,9:31:45,19.82,3800
V001,V001_3,2020/12/2,000001.SZSE,9:32:12,19.89,13000
V001,V001_4,2020/12/2,000001.SZSE,9:32:54,19.97,38000
V001,V001_5,2020/12/2,000001.SZSE,9:33:39,20.0099,33300
V001,V001_6,2020/12/2,000001.SZSE,9:35:09,19.97,1900
V001,V001_7,2020/12/2,000001.SZSE,9:35:21,19.98,12600
V001,V001_8,2020/12/2,000001.SZSE,9:35:54,19.95,6800
V001,V001_9,2020/12/2,000001.SZSE,9:36:57,19.84,69300
V001,V001_10,2020/12/2,000001.SZSE,9:39:12,19.8,36800
V001,V001_11,2020/12/2,000001.SZSE,9:39:33,19.81,120000
V001,V001_12,2020/12/2,000001.SZSE,9:39:36,19.81,49200
V001,V001_13,2020/12/2,000001.SZSE,9:40:12,19.8,29500
V001,V001_14,2020/12/2,000001.SZSE,9:40:36,19.8,11900
V001,V001_15,2020/12/2,000001.SZSE,9:42:27,19.81,48200
V001,V001_16,2020/12/2,000001.SZSE,9:44:15,19.7799,16000
V001,V001_17,2020/12/2,000001.SZSE,9:44:24,19.8,600
V001,V001_18,2020/12/2,000001.SZSE,9:46:33,19.79,8100
V001,V001_19,2020/12/2,000001.SZSE,9:46:39,19.79,3000
V001,V001_20,2020/12/2,000001.SZSE,9:47:00,19.86,7100
V001,V001_21,2020/12/2,000001.SZSE,9:47:12,19.79,15100
V001,V001_22,2020/12/2,000001.SZSE,9:48:15,19.9,11100
V001,V001_23,2020/12/2,000001.SZSE,9:49:30,19.9399,9300
V001,V001_24,2020/12/2,000001.SZSE,9:49:48,19.9199,47400
V001,V001_25,2020/12/2,000001.SZSE,9:51:00,19.97,4400
V001,V001_26,2020/12/2,000001.SZSE,9:51:06,19.97,6400
V001,V001_27,2020/12/2,000001.SZSE,9:51:54,19.95,36300
V001,V001_28,2020/12/2,000001.SZSE,9:57:54,19.8699,2000
V001,V001_29,2020/12/2,000001.SZSE,10:00:12,19.81,1600
V001,V001_30,2020/12/2,000001.SZSE,10:05:18,19.82,1600
V001,V001_31,2020/12/2,000001.SZSE,10:09:45,19.79,2300
V001,V001_32,2020/12/2,000001.SZSE,10:12:12,19.7799,1600
V001,V001_33,2020/12/2,000001.SZSE,10:13:18,19.79,9600
V001,V001_34,2020/12/2,000001.SZSE,10:14:57,19.7799,700
V001,V001_35,2020/12/2,000001.SZSE,10:16:12,19.77,3100
V001,V001_36,2020/12/2,000001.SZSE,10:18:30,19.7799,300
V001,V001_37,2020/12/2,000001.SZSE,10:20:18,19.8499,2600
V001,V001_38,2020/12/2,000001.SZSE,10:22:54,19.86,1600
V001,V001_39,2020/12/2,000001.SZSE,10:23:54,19.88,8100
V001,V001_40,2020/12/2,000001.SZSE,10:25:36,19.86,1700
V001,V001_41,2020/12/2,000001.SZSE,10:26:54,19.88,2200
V001,V001_42,2020/12/2,000001.SZSE,10:30:12,19.91,10800
V001,V001_43,2020/12/2,000001.SZSE,10:31:09,19.9399,700
V001,V001_44,2020/12/2,000001.SZSE,10:33:42,19.8699,8900
V001,V001_45,2020/12/2,000001.SZSE,10:34:51,19.86,2900
V001,V001_46,2020/12/2,000001.SZSE,10:35:27,19.8499,700
V001,V001_47,2020/12/2,000001.SZSE,10:37:54,19.86,2100
V001,V001_48,2020/12/2,000001.SZSE,10:38:51,19.88,1600
V001,V001_49,2020/12/2,000001.SZSE,10:40:48,19.91,5300
V001,V001_50,2020/12/2,000001.SZSE,10:41:33,19.9399,1500
V001,V001_51,2020/12/2,000001.SZSE,10:42:48,19.9399,2600
V001,V001_52,2020/12/2,000001.SZSE,10:45:54,19.98,300
V001,V001_53,2020/12/2,000001.SZSE,10:46:12,19.95,600
V001,V001_54,2020/12/2,000001.SZSE,10:48:33,19.95,6300
V001,V001_55,2020/12/2,000001.SZSE,10:51:03,20.04,200
V001,V001_56,2020/12/2,000001.SZSE,10:51:54,20.05,4200
V001,V001_57,2020/12/2,000001.SZSE,10:53:27,19.98,300
V001,V001_58,2020/12/2,000001.SZSE,10:54:51,19.97,8300
V001,V001_59,2020/12/2,000001.SZSE,10:55:03,19.93,11600
V001,V001_60,2020/12/2,000001.SZSE,10:55:51,19.9199,20000
V001,V001_61,2020/12/2,000001.SZSE,10:56:48,19.91,7200
V001,V001_62,2020/12/2,000001.SZSE,10:57:42,19.88,300
V002,V002_20,2020/12/3,600030.SHSE,10:01:07,31.07,4300
V002,V002_21,2020/12/3,600030.SHSE,10:02:40,31.06,1300
V002,V002_22,2020/12/3,600030.SHSE,10:04:55,30.99,2000
V002,V002_23,2020/12/3,600030.SHSE,10:06:55,30.97,8300
V002,V002_24,2020/12/3,600030.SHSE,10:08:04,30.99,8200
V002,V002_25,2020/12/3,600030.SHSE,10:09:25,30.97,22900
V002,V002_26,2020/12/3,600030.SHSE,10:12:46,30.97,2600
V002,V002_27,2020/12/3,600030.SHSE,10:14:28,30.98,2400
V002,V002_28,2020/12/3,600030.SHSE,10:14:56,30.97,700
V002,V002_29,2020/12/3,600030.SHSE,10:15:28,30.96,1100
V002,V002_30,2020/12/3,600030.SHSE,10:16:01,30.96,7400
V002,V002_31,2020/12/3,600030.SHSE,10:17:31,30.95,8400
V002,V002_32,2020/12/3,600030.SHSE,10:17:58,30.95,2400
V002,V002_33,2020/12/3,600030.SHSE,10:21:18,30.95,800
V002,V002_34,2020/12/3,600030.SHSE,10:21:37,30.95,30000
V002,V002_35,2020/12/3,600030.SHSE,10:25:04,30.99,5400
V002,V002_36,2020/12/3,600030.SHSE,10:26:13,30.97,4900
V002,V002_37,2020/12/3,600030.SHSE,10:26:40,30.95,3000
V002,V002_38,2020/12/3,600030.SHSE,10:26:49,30.95,2400
V002,V002_39,2020/12/3,600030.SHSE,10:28:04,30.94,800
V002,V002_40,2020/12/3,600030.SHSE,10:29:13,31.02,2000
V002,V002_41,2020/12/3,600030.SHSE,10:29:31,31.02,4100
V002,V002_42,2020/12/3,600030.SHSE,10:30:25,31,1900
V002,V002_43,2020/12/3,600030.SHSE,10:30:55,30.97,100
V002,V002_44,2020/12/3,600030.SHSE,10:31:07,30.99,22100
V002,V002_45,2020/12/3,600030.SHSE,10:31:10,30.97,900
V002,V002_46,2020/12/3,600030.SHSE,10:35:13,30.87,22200
V002,V002_47,2020/12/3,600030.SHSE,10:38:04,30.9,3400
V002,V002_48,2020/12/3,600030.SHSE,10:38:28,30.9,14900
V002,V002_49,2020/12/3,600030.SHSE,10:39:06,30.91,11100
V002,V002_50,2020/12/3,600030.SHSE,10:40:25,30.96,5400
V002,V002_51,2020/12/3,600030.SHSE,10:43:55,31,19400
V002,V002_52,2020/12/3,600030.SHSE,10:45:16,30.97,4000
V002,V002_53,2020/12/3,600030.SHSE,10:45:52,30.98,1600
V002,V002_54,2020/12/3,600030.SHSE,10:46:01,30.97,2200
V002,V002_55,2020/12/3,600030.SHSE,10:46:25,30.96,4000
V002,V002_56,2020/12/3,600030.SHSE,10:47:08,30.94,100
V002,V002_57,2020/12/3,600030.SHSE,10:47:38,30.93,33400
V002,V002_58,2020/12/3,600030.SHSE,10:50:15,30.94,3800
V002,V002_59,2020/12/3,600030.SHSE,10:50:46,30.93,13500
V002,V002_60,2020/12/3,600030.SHSE,10:54:04,30.87,5100
V002,V002_61,2020/12/3,600030.SHSE,10:55:10,30.88,2900
V002,V002_62,2020/12/3,600030.SHSE,10:56:13,30.88,1800
V002,V002_63,2020/12/3,600030.SHSE,10:58:11,30.89,400
V002,V002_64,2020/12/3,600030.SHSE,10:58:52,30.95,600
V002,V002_65,2020/12/3,600030.SHSE,10:58:55,30.95,5900
V002,V002_66,2020/12/3,600030.SHSE,11:00:28,30.89,500
V002,V002_67,2020/12/3,600030.SHSE,11:01:04,30.88,4800
V002,V002_68,2020/12/3,600030.SHSE,11:02:33,30.85,1200
V002,V002_69,2020/12/3,600030.SHSE,11:02:50,30.82,11700
V002,V002_70,2020/12/3,600030.SHSE,11:03:28,30.85,10100
V002,V002_71,2020/12/3,600030.SHSE,11:04:13,30.88,300
V002,V002_72,2020/12/3,600030.SHSE,11:07:04,30.91,1200
V002,V002_73,2020/12/3,600030.SHSE,11:07:15,30.91,2100
V002,V002_74,2020/12/3,600030.SHSE,11:07:34,30.9,200
V002,V002_75,2020/12/3,600030.SHSE,11:08:02,30.9,1500
V002,V002_76,2020/12/3,600030.SHSE,11:09:31,30.93,1300
V002,V002_77,2020/12/3,600030.SHSE,11:11:50,30.95,2300
