sym,date,open,high,low,close,volume,notional
000001.SZSE,2020-01-02,16.36827,16.6632,16.26996,16.58455,155656999,2.571196e+009
000001.SZSE,2020-01-03,16.65336,17.0171,16.6337,16.8893,113540658,1.914495e+009
000001.SZSE,2020-01-06,16.72218,17.0466,16.62387,16.78117,87692155,1.47793e+009
000001.SZSE,2020-01-07,16.84015,16.98761,16.6632,16.85981,74114824,1.247047e+009
000001.SZSE,2020-01-08,16.71235,16.7615,16.34861,16.3781,86241674,1.423609e+009
000001.SZSE,2020-01-09,16.52556,16.64353,16.2503,16.5059,104939302,1.725327e+009
000001.SZSE,2020-01-10,16.5059,16.52556,16.24047,16.4076,59562682,9.751548e+008
000001.SZSE,2020-01-13,16.46658,16.74184,16.32895,16.70252,88714438,1.468272e+009
000001.SZSE,2020-01-14,16.70252,16.97778,16.47641,16.47641,132694640,2.217609e+009
000001.SZSE,2020-01-15,16.5059,16.57472,16.17166,16.24047,87423165,1.424889e+009
000001.SZSE,2020-01-16,16.24047,16.28963,15.92589,16.05369,104580025,1.678889e+009
000001.SZSE,2020-01-17,16.10284,16.26996,16.07335,16.11267,61585737,9.95909e+008
000001.SZSE,2020-01-20,16.15199,16.32895,16.07335,16.17166,75891607,1.226465e+009
000001.SZSE,2020-01-21,16.06352,16.06352,15.66045,15.72927,91203529,1.442171e+009
000001.SZSE,2020-01-22,15.65062,15.88656,15.44418,15.81775,73184823,1.150933e+009
000001.SZSE,2020-01-23,15.65062,15.65062,15.12959,15.27705,111953529,1.723394e+009
000001.SZSE,2020-02-03,13.75328,14.45127,13.75328,13.75328,229807974,3.201454e+009
000001.SZSE,2020-02-04,13.81227,14.41194,13.78277,14.35296,173553844,2.442933e+009
000001.SZSE,2020-02-05,14.34313,14.63805,14.0777,14.38245,151704962,2.177632e+009
000001.SZSE,2020-02-06,14.55941,14.61839,14.26448,14.52008,120622580,1.740108e+009
000001.SZSE,2020-02-07,14.35296,14.44144,14.16617,14.37262,94077139,1.345053e+009
000001.SZSE,2020-02-10,14.26448,14.28414,14.05804,14.25465,136255043,1.931983e+009
000001.SZSE,2020-02-11,14.35296,14.68721,14.31364,14.53974,143173324,2.077194e+009
